"","YM","CATEGORY","ITEM_CNT","QTY","PRICE","MAXTEMP","SALEDAY","RAIN_DAY","HOLIDAY","X","X.1","YM.1","판매년월"
"60",201312,"일반탄산음료",33,2039,11420,5,240458,202,10,NA,NA,"",""
"61",200901,"일반탄산음료",45,990,2611,4,126753,151,12,NA,NA,"",""
"62",200902,"일반탄산음료",45,1199,2689,9,113399,3014,8,NA,NA,"",""
"63",200903,"일반탄산음료",43,1102,2735,12,129162,1383,9,NA,NA,"",""
"64",200904,"일반탄산음료",42,1326,2807,19,126277,3564,8,NA,NA,"",""
"65",200905,"일반탄산음료",46,1672,2674,25,129584,9288,12,NA,NA,"",""
"66",200906,"일반탄산음료",48,1875,2777,27,123218,9998,8,NA,NA,"",""
"67",200907,"일반탄산음료",53,1663,2858,28,131083,17405,8,NA,NA,"",""
"68",200908,"일반탄산음료",52,1957,2886,29,130040,7704,10,NA,NA,"",""
"69",200909,"일반탄산음료",54,2021,2838,27,131989,4096,8,NA,NA,"",""
"70",200910,"일반탄산음료",56,1718,2879,22,136095,2824,10,NA,NA,"",""
"71",200911,"일반탄산음료",58,1204,2853,12,136152,3684,9,NA,NA,"",""
"72",200912,"일반탄산음료",57,1147,2694,5,137391,216,9,NA,NA,"",""
"73",201001,"일반탄산음료",55,1106,2746,2,141145,792,11,NA,NA,"",""
"74",201002,"일반탄산음료",55,1361,2752,7,128528,4384,9,NA,NA,"",""
"75",201003,"일반탄산음료",55,1432,2800,10,145771,2940,9,NA,NA,"",""
"76",201004,"일반탄산음료",57,1750,2768,15,130412,5973,8,NA,NA,"",""
"77",201005,"일반탄산음료",57,2204,2768,23,143681,8656,12,NA,NA,"",""
"78",201006,"일반탄산음료",63,2366,2637,28,145035,6325,8,NA,NA,"",""
"79",201007,"일반탄산음료",63,2681,2637,29,148561,14930,9,NA,NA,"",""
"80",201008,"일반탄산음료",62,2321,2660,31,153056,30531,9,NA,NA,"",""
"81",201009,"일반탄산음료",64,1963,2786,27,147804,23150,11,NA,NA,"",""
"82",201010,"일반탄산음료",63,2321,2811,20,155952,1337,10,NA,NA,"",""
"83",201011,"일반탄산음료",65,1548,2932,13,154482,0,8,NA,NA,"",""
"84",201012,"일반탄산음료",66,1306,2958,5,161292,886,8,NA,NA,"",""
"85",201101,"일반탄산음료",68,1268,2960,-1,163610,82,10,NA,NA,"",""
"86",201102,"일반탄산음료",65,1528,3042,7,149737,5587,11,NA,NA,"",""
"87",201103,"일반탄산음료",63,1874,3112,10,169838,919,9,NA,NA,"",""
"88",201104,"일반탄산음료",74,2200,2984,17,167577,8244,9,NA,NA,"",""
"89",201105,"일반탄산음료",72,3247,2937,23,176452,7345,10,NA,NA,"",""
"90",201106,"일반탄산음료",73,2783,2913,27,173664,25001,9,NA,NA,"",""
"91",201107,"일반탄산음료",74,2593,3039,29,182676,43058,10,NA,NA,"",""
"92",201108,"일반탄산음료",79,2765,2792,29,186850,20554,9,NA,NA,"",""
"93",201109,"일반탄산음료",77,2971,2817,26,184270,5373,10,NA,NA,"",""
"94",201110,"일반탄산음료",76,2459,2838,20,194286,4146,11,NA,NA,"",""
"95",201111,"일반탄산음료",75,2299,2876,16,191703,10027,8,NA,NA,"",""
"96",201112,"일반탄산음료",75,1823,2876,5,201541,489,9,NA,NA,"",""
"97",201201,"일반탄산음료",71,1402,2942,3,203133,362,11,NA,NA,"",""
"98",201202,"일반탄산음료",72,1859,2907,5,186880,377,8,NA,NA,"",""
"99",201203,"일반탄산음료",70,2566,2941,11,212945,6556,10,NA,NA,"",""
"100",201204,"일반탄산음료",77,2475,2818,18,209151,17042,9,NA,NA,"",""
"101",201205,"일반탄산음료",80,3653,3146,24,215673,2095,10,NA,NA,"",""
"102",201206,"일반탄산음료",83,3474,3251,28,215525,8865,10,NA,NA,"",""
"103",201207,"일반탄산음료",76,2568,2205,29,203590,25076,9,NA,NA,"",""
"104",201208,"일반탄산음료",73,2854,2218,30,228142,32385,9,NA,NA,"",""
"105",201209,"일반탄산음료",69,2744,2269,25,223581,23569,10,NA,NA,"",""
"106",201210,"일반탄산음료",71,2369,2246,21,233331,11111,10,NA,NA,"",""
"107",201211,"일반탄산음료",67,1833,2299,11,229144,4805,8,NA,NA,"",""
"108",201212,"일반탄산음료",64,1621,2158,2,239129,3706,11,NA,NA,"",""
"109",201301,"일반탄산음료",63,1627,2184,2,240416,2528,9,NA,NA,"",""
"110",201302,"일반탄산음료",65,1624,2337,5,217015,6667,9,NA,NA,"",""
"111",201303,"일반탄산음료",63,2103,2376,12,243648,4364,11,NA,NA,"",""
"112",201304,"일반탄산음료",60,2117,2445,15,237340,6727,8,NA,NA,"",""
"113",201305,"일반탄산음료",62,2606,2419,23,245068,17217,10,NA,NA,"",""
"114",201306,"일반탄산음료",56,2621,1962,28,236180,7360,11,NA,NA,"",""
"115",201307,"일반탄산음료",59,2336,1936,29,241687,41344,8,NA,NA,"",""
"116",201308,"일반탄산음료",61,2755,1957,31,240142,22284,10,NA,NA,"",""
"117",201309,"일반탄산음료",59,2992,1928,26,231662,13699,12,NA,NA,"",""
